,GAA2025,NEP2026,HGAB2026,SenateCR2026,SGAB2026,HGAB-NEP,HGAB26-GAA25,SenateCR-HGAB,SenateCR-NEP,SenateCR26-GAA25
Protective Social Welfare Program,"131,853,035,000","88,929,734,000","120,992,734,000","100,439,734,000","104,014,734,000","+32,063,000,000","-10,860,301,000","-20,553,000,000","+11,510,000,000","-31,413,301,000"
      Services for Residential and Center-based Clients,"2,921,182,000","3,032,401,000","3,032,401,000","3,032,401,000","3,062,401,000",0,"+111,219,000",0,0,"+111,219,000"
      Supplementary Feeding Program,"5,182,950,000","6,113,551,000","6,113,551,000","9,413,551,000","9,563,551,000",0,"+930,601,000","+3,300,000,000","+3,300,000,000","+4,230,601,000"
      Social Pension for Indigent Senior Citizens,"49,807,050,000","49,812,295,000","49,812,295,000","58,022,295,000","53,917,295,000",0,"+5,245,000","+8,210,000,000","+8,210,000,000","+8,215,245,000"
      Protective Services for Individuals and Families in Difficult Circumstances,"44,744,227,000","27,028,454,000","59,091,454,000","27,028,454,000","34,528,454,000","+32,063,000,000","+14,347,227,000","-32,063,000,000",0,"-17,715,773,000"
      Assistance to Persons with Disability,"7,614,000","7,810,000","7,810,000","7,810,000","7,810,000",0,"+196,000",0,0,"+196,000"
      Services to Displaced Persons,"52,083,000","53,021,000","53,021,000","53,021,000","53,021,000",0,"+938,000",0,0,"+938,000"
      Recovery and Reintegration Program for Trafficked Persons,"24,218,000","24,654,000","24,654,000","24,654,000","24,654,000",0,"+436,000",0,0,"+436,000"
      Reducing Vulnerabilities of Children from Hunger and Malnutrition in BARMM or Bangsamoro Umpungan sa Nutrisyon (BangUN),"157,637,000","160,474,000","160,474,000","160,474,000","160,474,000",0,"+2,837,000",0,0,"+2,837,000"
      Walang Gutom 2027: Food STAMP Program,"1,890,000,000","1,890,000,000","1,890,000,000","1,890,000,000","1,890,000,000",0,0,0,0,0
      Ayuda sa Kapos ang Kita Program (AKAP) ,"26,159,000,000",0,,,,0,"-26,159,000,000",0,0,"-26,159,000,000"
      Pag-Abot Program,"807,074,000","807,074,000","807,074,000","807,074,000","807,074,000",0,0,0,0,0
      Liwanag at Tubig Assistance Welfare (LITAW) Program,"100,000,000",0,,,,0,"-100,000,000",0,0,"-100,000,000"
Disaster Response and Management Program,"4,828,379,000","4,168,036,000","6,993,036,000","7,193,036,000","7,443,036,000","+2,825,000,000","+2,164,657,000","+200,000,000","+3,025,000,000","+2,364,657,000"
      Disaster Response and Rehabilitation Program,"2,077,390,000","1,936,131,000","1,936,131,000","1,936,131,000","2,186,131,000",0,"-141,259,000",0,0,"-141,259,000"
      National Resource Operations,"100,877,000","81,793,000","81,793,000","81,793,000","81,793,000",0,"-19,084,000",0,0,"-19,084,000"
      Quick Response Fund,"1,250,000,000","1,250,000,000","3,000,000,000","3,000,000,000","3,000,000,000","+1,750,000,000","+1,750,000,000",0,"+1,750,000,000","+1,750,000,000"
      Implementation and Monitoring of Payapa at Masaganang Pamayanan (PAMANA) Program - Peace and Development Fund,"351,071,000","351,071,000","351,071,000","351,071,000","351,071,000",0,0,0,0,0
      Implementation and Monitoring of Payapa at Masaganang Pamayanan (PAMANA) Program - DSWD/LGU Led Livelihood,"1,049,041,000","549,041,000","1,049,041,000","1,049,041,000","1,049,041,000","+500,000,000",0,0,"+500,000,000",0
      Construction of the Mindanao Disaster Resource Center Under Multi-Year Contractual Authority (MYCA) - Phase 1,0,0,"500,000,000","500,000,000","500,000,000","+500,000,000","+500,000,000",0,"+500,000,000","+500,000,000"
      Establishment of Five (5) Regional Bahay Pag-Asa under a Multi-Year Contractual Authority (MYCA) - Phase 1,0,0,"75,000,000","275,000,000","275,000,000","+75,000,000","+75,000,000","+200,000,000","+275,000,000","+275,000,000"
Social Welfare and Development Agencies Regulatory Program,"74,210,000","85,853,000","85,853,000","290,832,000","290,832,000",0,"+11,643,000","+204,979,000","+204,979,000","+216,622,000"
"      Standards-setting, Licensing, Accreditation and Monitoring Services","74,210,000","85,853,000","85,853,000","290,832,000","290,832,000",0,"+11,643,000","+204,979,000","+204,979,000","+216,622,000"
Social Welfare and Development Technical Assitance and Resource Augmentation Program,"1,208,824,000","1,375,896,000","1,375,896,000","1,375,896,000","1,535,896,000",0,"+167,072,000",0,0,"+167,072,000"
      Provision of Technical/Advisory Assistance and Other Related Support Services,"1,165,305,000","1,330,108,000","1,330,108,000","1,330,108,000","1,490,108,000",0,"+164,803,000",0,0,"+164,803,000"
      Provision of Capability Training Programs,"43,519,000","45,788,000","45,788,000","45,788,000","45,788,000",0,"+2,269,000",0,0,"+2,269,000"
